Fecha,Ciudad,Temperatura Maxima,Temperatura Minima,Precipitacion,Velocidad del Viento,Humedad Relativa
1/1/2023,Buenos Aires,27,18,0.0,22.7,68.8
1/1/2023,Cordoba,35,18,0.0,33.8,61.7
1/1/2023,Rosario,23,21,0.0,10.6,80.0
1/1/2023,Mendoza,35,21,0.0,23.8,76.8
1/1/2023,Tucuman,36,18,17.2,25.7,54.9
2/1/2023,Buenos Aires,31,15,0.0,10.6,67.1
2/1/2023,Cordoba,32,20,0.0,20.8,56.2
2/1/2023,Rosario,23,17,0.0,16.3,37.7
2/1/2023,Mendoza,34,19,0.0,39.7,36.1
2/1/2023,Tucuman,28,19,0.0,24.0,44.7
3/1/2023,Buenos Aires,29,21,0.0,15.9,52.1
3/1/2023,Cordoba,24,18,0.0,39.3,58.1
3/1/2023,Rosario,29,15,0.0,18.5,37.2
3/1/2023,Mendoza,29,19,0.0,11.9,71.5
3/1/2023,Tucuman,29,19,0.0,27.3,85.8
4/1/2023,Buenos Aires,27,20,0.0,18.7,41.0
4/1/2023,Cordoba,26,19,0.0,30.3,46.2
4/1/2023,Rosario,25,22,0.0,27.8,64.3
4/1/2023,Mendoza,33,15,53.7,31.0,47.8
4/1/2023,Tucuman,21,16,0.0,36.5,71.6
5/1/2023,Buenos Aires,32,17,0.0,22.7,66.4
5/1/2023,Cordoba,26,17,0.0,28.5,55.7
5/1/2023,Rosario,29,22,0.0,27.2,69.2
5/1/2023,Mendoza,21,17,0.0,23.1,83.5
5/1/2023,Tucuman,30,16,12.0,31.4,89.9
6/1/2023,Buenos Aires,28,21,0.0,13.7,80.9
6/1/2023,Cordoba,24,17,0.0,30.9,57.2
6/1/2023,Rosario,22,19,117.1,10.4,51.6
6/1/2023,Mendoza,22,16,0.0,16.0,31.1
6/1/2023,Tucuman,31,22,41.4,31.1,31.9
7/1/2023,Buenos Aires,28,17,0.0,38.0,66.8
7/1/2023,Cordoba,23,21,0.0,21.9,42.6
7/1/2023,Rosario,34,15,0.0,16.8,45.3
7/1/2023,Mendoza,31,20,0.0,21.3,40.8
7/1/2023,Tucuman,21,20,0.0,26.1,83.8
8/1/2023,Buenos Aires,26,16,0.0,10.6,75.5
8/1/2023,Cordoba,23,20,70.6,28.9,82.4
8/1/2023,Rosario,28,19,22.3,30.6,42.9
8/1/2023,Mendoza,23,18,0.0,25.5,31.5
8/1/2023,Tucuman,30,18,0.0,18.3,65.2
9/1/2023,Buenos Aires,21,19,0.0,31.5,53.8
9/1/2023,Cordoba,30,22,0.0,20.7,86.4
9/1/2023,Rosario,31,15,0.0,26.6,65.1
9/1/2023,Mendoza,26,15,0.0,10.5,85.8
9/1/2023,Tucuman,27,20,0.0,11.9,59.1
10/1/2023,Buenos Aires,30,15,40.6,17.0,87.0
10/1/2023,Cordoba,30,17,75.7,18.8,80.9
10/1/2023,Rosario,31,17,0.0,39.5,58.7
10/1/2023,Mendoza,23,18,0.0,34.7,41.4
10/1/2023,Tucuman,32,16,11.7,39.2,87.7
11/1/2023,Buenos Aires,34,15,0.0,22.2,43.9
11/1/2023,Cordoba,32,19,0.0,33.1,38.8
11/1/2023,Rosario,21,18,0.0,22.6,63.4
11/1/2023,Mendoza,28,19,0.0,11.7,48.1
11/1/2023,Tucuman,27,17,0.0,18.5,52.8
12/1/2023,Buenos Aires,24,15,0.0,33.4,76.6
12/1/2023,Cordoba,31,20,0.0,21.1,41.8
12/1/2023,Rosario,24,20,0.0,25.6,48.4
12/1/2023,Mendoza,21,20,0.0,22.9,60.6
12/1/2023,Tucuman,22,21,0.0,21.8,87.4
13/1/2023,Buenos Aires,23,18,0.0,36.5,57.5
13/1/2023,Cordoba,22,19,0.0,31.0,49.7
13/1/2023,Rosario,26,17,0.0,33.9,87.5
13/1/2023,Mendoza,21,16,0.0,38.6,64.5
13/1/2023,Tucuman,32,21,0.0,28.9,53.9
14/1/2023,Buenos Aires,23,15,31.0,11.0,87.5
14/1/2023,Cordoba,25,21,0.0,22.0,85.8
14/1/2023,Rosario,29,15,0.0,19.8,44.0
14/1/2023,Mendoza,31,20,0.0,12.0,45.1
14/1/2023,Tucuman,29,19,0.0,13.5,67.1
15/1/2023,Buenos Aires,29,16,0.0,29.2,59.4
15/1/2023,Cordoba,25,22,0.0,17.2,69.8
15/1/2023,Rosario,28,19,0.0,26.6,47.2
15/1/2023,Mendoza,24,19,43.3,37.7,32.8
15/1/2023,Tucuman,31,18,97.8,39.1,84.3
16/1/2023,Buenos Aires,27,20,0.0,38.5,44.0
16/1/2023,Cordoba,28,15,87.7,18.2,52.7
16/1/2023,Rosario,27,17,0.0,23.5,48.3
16/1/2023,Mendoza,28,17,60.3,29.0,82.0
16/1/2023,Tucuman,31,17,83.9,39.8,57.1
17/1/2023,Buenos Aires,24,21,0.0,13.9,66.2
17/1/2023,Cordoba,22,19,0.0,18.2,65.5
17/1/2023,Rosario,34,17,0.0,23.7,54.1
17/1/2023,Mendoza,36,21,0.0,25.7,75.0
17/1/2023,Tucuman,22,15,0.0,17.6,56.8
18/1/2023,Buenos Aires,34,15,0.0,28.7,72.6
18/1/2023,Cordoba,21,15,81.1,26.3,47.0
18/1/2023,Rosario,22,16,0.0,25.9,85.3
18/1/2023,Mendoza,30,21,0.0,28.7,46.7
18/1/2023,Tucuman,34,22,0.0,30.2,86.9
19/1/2023,Buenos Aires,29,19,0.0,38.9,31.0
